"גימלאות","מקבלי גימלה","ילדים בישוב","ילדים","בן בת זוג","אזרח וותיק","מקבלי שירות","סוג גימלה","ישוב"
19,17,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","אלון שבות"
17,17,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","אלעזר"
17,17,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","כרמי צור"
17,17,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","מגדל עוז"
17,17,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","נווה דניאל"
16,16,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","מעלה עמוס"
16,16,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","נווה דניאל"
16,16,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","תקוע"
15,15,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","בת עין"
15,15,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","נוקדים"
15,15,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","תקוע"
14,14,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק אלמן","אלון שבות"
14,14,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","אלעזר"
14,14,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","בת עין"
14,14,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","הר גילה"
14,14,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","מעלה עמוס"
14,14,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","נוקדים"
14,14,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","נוקדים"
14,14,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","תקוע"
13,13,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","אלון שבות"
13,13,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק אלמן","תקוע"
12,12,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","אלעזר"
12,12,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","בת עין"
12,12,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","נווה דניאל"
12,12,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","נוקדים"
12,12,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","נוקדים"
11,11,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","אלון שבות"
11,11,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","אלעזר"
11,11,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","בת עין"
11,11,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","בת עין"
11,11,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","כרמי צור"
11,11,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","נוקדים"
11,11,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","ראש צורים"
10,10,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","אלון שבות"
10,10,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","אספר"
10,10,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","נווה דניאל"
10,10,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","לא ידוע","נוקדים"
10,10,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","קדר"
10,10,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","קדר"
10,10,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","קדר"
9,9,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","אלון שבות"
9,9,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק אלמן","אלעזר"
9,9,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק אלמן","הר גילה"
9,9,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק אלמן","תקוע"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","אלעזר"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","אספר"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","אספר"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","בת עין"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","בת עין"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","הר גילה"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","הר גילה"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","הר גילה"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","הר גילה"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","מעלה עמוס"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק אלמן","נוקדים"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","קדר"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","קדר"
8,8,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","ראש צורים"
7,7,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","אלון שבות"
7,7,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","אלון שבות"
7,7,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","אלעזר"
7,7,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","בת עין"
7,7,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","הר גילה"
7,7,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","כפר עציון"
7,7,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","כרמי צור"
7,7,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","מעלה עמוס"
7,7,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","נוקדים"
7,7,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","לא ידוע","נוקדים"
7,7,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","ראש צורים"
7,7,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","תקוע"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק אלמן","אלעזר"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","אלעזר"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","בת עין"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","הר גילה"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","הר גילה"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","כפר עציון"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","כפר עציון"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","כרמי צור"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","כרמי צור"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","מעלה עמוס"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","נווה דניאל"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","קדר"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","קדר"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","קדר"
6,6,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","לא ידוע","תקוע"
5,5,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","אלון שבות"
5,5,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק אלמן","בת עין"
5,5,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","כפר עציון"
5,5,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק אלמן","כפר עציון"
5,5,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק אלמן","נווה דניאל"
5,5,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","נווה דניאל"
5,5,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","נווה דניאל"
5,5,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","נוקדים"
5,5,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","נוקדים"
5,5,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","קדר"
5,5,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","ראש צורים"
5,5,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","תקוע"
5,5,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","תקוע"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","אלון שבות"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","בת עין"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","הר גילה"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק אלמן","הר גילה"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","הר גילה"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","הר גילה"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","כפר עציון"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","כרמי צור"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","נווה דניאל"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","נוקדים"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","נכה","נוקדים"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","שרמ","נוקדים"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","קדר"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","ראש צורים"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","ראש צורים"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","ראש צורים"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","לא ידוע","תקוע"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","תקוע"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","תקוע"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","תקוע"
4,4,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","נכה","תקוע"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","לא ידוע","אלון שבות"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","שרמ","אלון שבות"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","אלעזר"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","בת עין"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","בת עין"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","שרמ","בת עין"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","הר גילה"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","כפר עציון"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","כפר עציון"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","כפר עציון"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","כפר עציון"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","כרמי צור"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","מגדל עוז"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","מעלה עמוס"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","נווה דניאל"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","נווה דניאל"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","לא ידוע","נוקדים"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","קדר"
